iter	Passed	Remaining
0	4	4945
1	13	6526
2	22	7544
3	31	7730
4	38	7675
5	46	7711
6	53	7625
7	61	7571
8	67	7463
9	74	7393
10	80	7259
11	86	7138
12	92	7028
13	98	6925
14	104	6849
15	110	6775
16	116	6722
17	122	6683
18	128	6645
19	134	6597
20	141	6609
21	148	6597
22	154	6571
23	160	6546
24	168	6557
25	174	6533
26	182	6584
27	189	6565
28	195	6530
29	202	6552
30	209	6535
31	216	6553
32	225	6602
33	232	6615
34	240	6623
35	247	6637
36	253	6609
37	260	6588
38	266	6560
39	272	6536
40	278	6519
41	284	6497
42	291	6486
43	297	6463
44	303	6448
45	310	6441
46	317	6433
47	322	6398
48	329	6388
49	335	6382
50	342	6375
51	349	6377
52	356	6371
53	364	6386
54	372	6396
55	378	6385
56	385	6374
57	391	6366
58	399	6378
59	406	6364
60	412	6348
61	418	6336
62	425	6321
63	431	6304
64	437	6287
65	443	6275
66	449	6262
67	455	6245
68	461	6231
69	467	6215
70	474	6203
71	480	6190
72	486	6183
73	493	6176
74	499	6165
75	506	6154
76	512	6142
77	519	6139
78	527	6147
79	533	6140
80	541	6138
81	547	6130
82	554	6124
83	560	6113
84	567	6106
85	574	6109
86	580	6096
87	587	6087
88	594	6083
89	600	6070
90	606	6061
91	612	6049
92	619	6038
93	625	6026
94	631	6017
95	638	6009
96	643	5994
97	649	5982
98	655	5966
99	661	5954
100	668	5946
101	674	5939
102	681	5938
103	688	5931
104	694	5923
105	701	5917
106	709	5919
107	718	5935
108	725	5926
109	732	5924
110	738	5918
111	745	5909
112	751	5902
113	758	5895
114	765	5892
115	773	5891
116	780	5889
117	786	5877
118	792	5867
119	798	5859
120	804	5845
121	811	5839
122	817	5831
123	825	5829
124	831	5823
125	839	5820
126	846	5821
127	854	5821
128	861	5815
129	868	5811
130	876	5812
131	882	5802
132	890	5808
133	897	5800
134	904	5796
135	911	5789
136	914	5763
137	921	5756
138	928	5749
139	934	5742
140	941	5734
141	948	5729
142	954	5720
143	960	5712
144	967	5704
145	974	5697
146	980	5689
147	987	5683
148	994	5681
149	1002	5678
150	1009	5673
151	1020	5691
152	1028	5691
153	1035	5686
154	1042	5681
155	1049	5677
156	1056	5674
157	1064	5674
158	1070	5663
159	1077	5655
160	1084	5650
161	1091	5647
162	1098	5639
163	1104	5630
164	1111	5624
165	1117	5616
166	1125	5612
167	1131	5605
168	1137	5595
169	1144	5586
170	1150	5579
171	1157	5570
172	1163	5559
173	1169	5551
174	1176	5547
175	1183	5540
176	1190	5533
177	1196	5523
178	1202	5513
179	1208	5505
180	1215	5499
181	1222	5495
182	1229	5489
183	1235	5481
184	1243	5476
185	1250	5471
186	1257	5465
187	1262	5454
188	1269	5445
189	1275	5436
190	1281	5428
191	1288	5420
192	1294	5412
193	1301	5406
194	1307	5397
195	1314	5390
196	1320	5381
197	1326	5374
198	1332	5363
199	1338	5354
200	1345	5347
201	1351	5337
202	1357	5328
203	1363	5319
204	1369	5309
205	1375	5301
206	1383	5298
207	1389	5289
208	1395	5281
209	1402	5274
210	1408	5267
